City,Date,Card Type,Exp Type,Gender,Amount,Cluster_KMeans,Cluster_HCA
"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,32555,1,1
"Bengaluru, India",2014-08-27,Silver,Bills,F,101738,1,1
"Greater Mumbai, India",2014-04-12,Signature,Bills,F,123424,0,1
"Delhi, India",2014-09-08,Silver,Bills,F,100036,1,1
"Delhi, India",2015-02-24,Gold,Bills,F,143250,0,0
"Delhi, India",2014-09-01,Platinum,Bills,F,67932,1,1
"Delhi, India",2014-06-22,Platinum,Bills,F,280061,0,0
"Greater Mumbai, India",2013-12-07,Signature,Bills,F,278036,1,1
"Greater Mumbai, India",2014-08-07,Gold,Bills,F,19226,1,1
"Delhi, India",2014-04-27,Signature,Bills,F,254359,0,1
"Greater Mumbai, India",2014-08-15,Signature,Bills,F,302834,1,1
"Greater Mumbai, India",2014-11-28,Platinum,Bills,F,647116,1,0
"Greater Mumbai, India",2014-06-14,Signature,Bills,F,421878,0,0
"Greater Mumbai, India",2015-03-30,Gold,Bills,F,986379,0,0
"Greater Mumbai, India",2013-11-09,Platinum,Bills,F,735566,1,0
"Delhi, India",2014-04-04,Signature,Bills,F,366102,0,0
"Delhi, India",2014-07-01,Signature,Bills,F,809623,1,0
"Ahmedabad, India",2013-10-11,Gold,Bills,F,668568,1,0
"Ahmedabad, India",2014-03-26,Gold,Bills,F,339112,0,0
"Delhi, India",2014-09-27,Silver,Bills,F,622170,1,0
"Bengaluru, India",2014-03-23,Platinum,Bills,F,434427,0,0
"Greater Mumbai, India",2014-05-17,Signature,Bills,F,655846,0,0
"Bengaluru, India",2015-01-18,Platinum,Bills,F,987935,0,0
"Delhi, India",2015-04-18,Gold,Bills,F,702774,0,0
"Bengaluru, India",2014-07-31,Signature,Bills,F,225392,1,1
"Greater Mumbai, India",2015-02-11,Gold,Bills,F,296573,0,0
"Ahmedabad, India",2013-11-24,Platinum,Bills,F,227702,1,1
"Ahmedabad, India",2014-11-08,Gold,Bills,F,864090,1,0
"Ahmedabad, India",2014-09-06,Signature,Bills,F,440605,1,0
"Ahmedabad, India",2015-03-24,Platinum,Bills,F,954660,0,0
"Ahmedabad, India",2014-01-01,Signature,Bills,F,255577,0,1
"Ahmedabad, India",2014-07-12,Silver,Bills,F,337352,1,0
"Ahmedabad, India",2014-02-04,Platinum,Bills,F,660244,0,0
"Delhi, India",2015-02-03,Silver,Bills,F,401351,0,0
"Delhi, India",2013-10-27,Platinum,Bills,F,678842,1,0
"Delhi, India",2014-05-11,Gold,Bills,F,478861,0,0
"Bengaluru, India",2014-11-10,Platinum,Bills,F,804938,1,0
"Delhi, India",2015-01-30,Silver,Bills,F,888341,0,0
"Bengaluru, India",2014-09-08,Gold,Bills,F,249353,1,1
